Sl.No,Mol_Smiles,Mol_Code,Pol_DFT,Den_MD,pol_den_product/1000,RI_LL,Pol_geom,nBB,MW_pybel,RI_geom
430085,c1scc(n1)N1CN(CNC1c1ccco1)c1ccco1,F9-F15-F15-F14,187.1487,1335.8,249.99323346,1.5302,190.8849,4,302.35156,1.54289116266
1414673,C1NCN(CN1)c1ccc2c(c1c1cscc1C1NCNCN1)cccc2,F9-F16-F7-F9,267.6757,1257.45,336.588808965,1.5752,277.0975,4,380.50976,1.60019204535
667564,C1NCN(CN1)c1ccoc1c1ccsc1c1cncs1,F7-F15-F9-F14,210.8235,1354.78,285.61946133,1.5851,222.4279,4,318.41716,1.62525805208
1047543,s1ncc(n1)C1SCCSC1(c1ccco1)c1scnn1,F6-F13-F8-F15,204.6625,1458.21,298.440904125,1.5418,206.0793,4,354.494,1.54628074589
283249,o1ccc(c1)c1coc(c1)c1scc(n1)c1ccco1,F14-F15-F15-F15,204.7819,1311.44,268.559174936,1.6266,209.4669,4,283.30186,1.64462180091
1075000,C1NCN(CN1)c1cc2cccc(c2c(c1)c1ccncc1)c1ccco1,F9-F16-F11-F15,266.6044,1206.23,321.586225412,1.5894,281.3202,4,356.4204,1.62997068227
489412,Oc1ccc(nc1)c1cccc2c1cccc2N1CNCNC1,F9-F16-F11-F3,229.9416,1225.29,281.745143064,1.6034,240.1803,4,306.36172,1.63705783956
1068727,C1CCC(C1)c1cc(cc2c1cccc2)c1cnc(s1)c1ccncc1,F14-F16-F11-F10,301.7494,1169.91,353.019640554,1.662,320.6724,4,356.4833,1.71596322485
1322282,N1CNC(NC1)c1ccccc1c1ccc2c(c1)cc(cc2)c1nccs1,F5-F9-F16-F14,295.9802,1226.72,363.084830944,1.6489,307.7346,4,372.486,1.68190284192
448527,C1CCC(C1)c1ncc(s1)C1(CCCC1)c1cncs1,F10-F14-F10-F14,201.4907,1174.81,236.713289267,1.4928,207.8206,4,304.4734,1.51115965569
1061712,c1ccc(nc1)c1cccc2c1cccc2c1coc(c1)c1nncs1,F15-F16-F8-F11,279.4238,1250.49,349.416667662,1.656,294.2614,4,355.41242,1.70092450496
501097,C1NCN(C(N1)C1CCCC1C1CCCC1)c1nncs1,F10-F10-F9-F8,197.5907,1160.09,229.222995163,1.4692,202.2142,4,307.4575,1.48206915907
1143886,N1CN(CN(C1)c1cscc1)c1ccc2c(c1c1ccco1)cccc2,F9-F16-F7-F15,263.8504,1245.29,328.570264616,1.5948,277.8521,4,361.46006,1.6342681921
1286347,c1ccc(nc1)c1cnc(s1)c1cccc2c1cccc2c1cccs1,F14-F16-F11-F7,298.5511,1254.0,374.3830794,1.6793,335.6737,4,370.48996,1.79263122979
898319,s1cnc(c1)N1CNC(NC1c1scnn1)c1nccs1,F8-F9-F14-F14,188.0291,1457.52,274.056173832,1.5189,192.5963,4,337.44694,1.53404139425
91203,Oc1ncsc1c1ncccc1c1ccco1,F3-F14-F11-F15,158.6215,1323.34,209.91017581,1.5553,169.3114,4,244.26912,1.60144238278
780944,Sc1cc2ccccc2c(c1)c1scnc1c1nsnc1,F14-F16-F13-F2,229.7567,1366.2,313.89360354,1.6354,233.326,4,327.44706,1.64785501459
363306,C1CCC(C1)c1ccccc1c1occc1c1nncs1,F5-F15-F10-F8,206.2873,1176.47,242.690819831,1.524,215.2753,4,296.38674,1.55157365415
1056811,Sc1cc2cc(ccc2cc1c1ccccn1)C1SCCSC1,F2-F16-F6-F11,273.372,1259.61,344.34210492,1.6437,283.3866,4,355.53998,1.67373724731
75698,c1ccc(cc1)Cc1coc(c1)c1cncs1,F1-F15-F14-F5,173.2944,1190.51,206.308716144,1.5519,177.0045,4,241.30824,1.56628019027
123660,Oc1csc(n1)c1scc(c1)c1cocc1,F7-F14-F3-F15,166.26,1389.91,231.0864366,1.6093,170.5664,4,249.30878,1.62901630189
1450435,C1CSC(CS1)c1cnc(c(c1)C1CSCCS1)c1nsnc1,F6-F11-F13-F6,256.1326,1359.36,348.176411136,1.5647,259.8394,4,399.64058,1.57464158751
1012540,c1ccc(cn1)c1cccc2c1cccc2c1cnc(cn1)c1cocc1,F11-F16-F12-F15,282.2592,1206.63,340.582418496,1.649,303.1586,4,349.3847,1.71117951176
